,id,name,artists,artist_name,album,album_name,release_date,explicit,popularity,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
472,2Ydhlp4RgtHKx2e4eXJsjr,Earthquake,['2FwDTncULUnmANIh7qKa5z'],['FKJ'],0A13mnL2iaAoke3GXWsvB1,Ylang Ylang EP,2019-11-12,False,47.0,"Earthquake|Y,l,a,n,g, ,Y,l,a,n,g, ,E,P|FKJ",0.375,0.378,8.0,-12.547,1.0,0.158,0.85,0.0464,0.12,0.0996,82.631,1.0,162363.0
473,2Ysgj45ohvHpLNetnso0kz,Shame,"['0eZipjUat1rbp08ICpxU3S', '4qfO1uiJryvY1IFS5PYy85']","['Roman Kouder', 'Ana Zimmer']",3kKtyGyYjIyUWQn45MzALX,YOUTH,2019-03-22,False,5.0,"Shame|Y,O,U,T,H|Roman Kouder,Ana Zimmer",0.79,0.519,5.0,-8.885,0.0,0.0469,0.351,1.37e-06,0.158,0.456,117.008,4.0,217436.0
474,2YtGWoI8YM9yT41bPoyqWy,We Had Everything,['5r5Va4lVQ1zjEfbJSrmCsS'],['BROODS'],61RfrwKu6wJmaZYh3xt0mF,Conscious,2016-06-24,False,39.0,"We Had Everything|C,o,n,s,c,i,o,u,s|BROODS",0.631,0.662,0.0,-3.938,1.0,0.0318,0.0507,1.44e-06,0.199,0.316,112.008,4.0,203107.0
475,2Z8WuEywRWYTKe1NybPQEW,Ride,['3YQKmKGau1PzlVlkL1iodx'],['Twenty One Pilots'],3cQO7jp5S9qLBoIVtbkSM1,Blurryface,2015-05-15,False,82.0,"Ride|B,l,u,r,r,y,f,a,c,e|Twenty One Pilots",0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.566,74.989,4.0,214507.0
476,2Zd9awmsA8KuF65snhz7YH,Puzzle Pieces,['1dWEYMPtNmvSVaDNLgB6NV'],['Saint Motel'],24nqMCIROq1MULNqjzeglz,Voyeur,2012-07-10,False,51.0,"Puzzle Pieces|V,o,y,e,u,r|Saint Motel",0.537,0.89,5.0,-5.191,1.0,0.0488,0.117,2.05e-05,0.279,0.597,114.088,4.0,231387.0
477,2ZtMNYog671T0UFfp0hhWq,Standing By,['26AHtbjWKiwYzsoGoUZq53'],['Pentatonix'],32y54TelUHSUDWVOx4h1B4,"PTX, Vol. III",2014-09-23,False,40.0,"Standing By|P,T,X,,, ,V,o,l,., ,I,I,I|Pentatonix",0.469,0.246,1.0,-13.491,1.0,0.0297,0.48,5.54e-05,0.099,0.159,112.967,4.0,253800.0
478,2ZuykVaeKtcZXvHRNNcKBG,One Time,['1xHQO9GJIW9OXHxGBISYc5'],['Marian Hill'],2QTg7XF8hHMHexJLCKsqdA,ACT ONE (The Complete Collection),2016-06-20,False,26.0,"One Time|A,C,T, ,O,N,E, ,(,T,h,e, ,C,o,m,p,l,e,t,e, ,C,o,l,l,e,c,t,i,o,n,)|Marian Hill",0.834,0.244,2.0,-12.349,0.0,0.472,0.285,0.0,0.191,0.511,160.107,4.0,217613.0
479,2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,['69GGBxA162lTqCwzJG5jLp'],['The Chainsmokers'],3Gm1gQdIyBEPJVQUs7rYfr,World War Joy...Push My Luck,2019-11-08,False,61.0,"Push My Luck|W,o,r,l,d, ,W,a,r, ,J,o,y,.,.,.,P,u,s,h, ,M,y, ,L,u,c,k|The Chainsmokers",0.584,0.643,2.0,-6.415,1.0,0.0395,0.288,0.0,0.186,0.53,90.036,4.0,181844.0
480,2aKavdTCe4w3WXhwEN9f3m,Stan The Man,['4tHZV2ZowPkzOvX4eG1inY'],['The Arcadian Wild'],3GNgRPzfWWQ6UAkcYzTTvg,Finch In The Pantry,2019-05-03,False,29.0,"Stan The Man|F,i,n,c,h, ,I,n, ,T,h,e, ,P,a,n,t,r,y|The Arcadian Wild",0.769,0.461,7.0,-9.5,1.0,0.0483,0.761,0.363,0.0861,0.943,112.056,4.0,164880.0
481,2aVWCXL7MeyrittWW41GPg,Rich Kids,"['4vGrte8FDu062Ntj0RsPiZ', '502QOcjJiKbhtG2MyrFkc8']","['Polyphia', 'Yvette Young']",1JYk1k73qSbXCCCciopZH7,New Levels New Devils,2018-10-12,False,38.0,"Rich Kids|N,e,w, ,L,e,v,e,l,s, ,N,e,w, ,D,e,v,i,l,s|Polyphia,Yvette Young",0.511,0.767,6.0,-5.475,0.0,0.0552,0.0164,0.67,0.141,0.398,174.982,4.0,201801.0
482,2aZEducFKpmGKclCdyjoS4,Exhale,"['13GH7wviJQ9gfZmr1pXHS4', '5GQ5RVVNOw8XqUN9xOwDef']","['Unprocessed', 'Vincent Schmitz']",5316eRBXIt4PqDxooZkMsg,Covenant,2018-04-13,False,23.0,"Exhale|C,o,v,e,n,a,n,t|Unprocessed,Vincent Schmitz",0.339,0.984,1.0,-2.535,1.0,0.255,9.59e-05,0.784,0.262,0.374,142.385,3.0,207177.0
483,2atdx8nMFvt1Sth59D58pB,Ex-Life,['19lQ2rJLlP71FOKESiMNJT'],['Ripe'],5zENm1Gr6BM9mmYkjyN43K,Joy in the Wild Unknown,2018-04-06,False,32.0,"Ex-Life|J,o,y, ,i,n, ,t,h,e, ,W,i,l,d, ,U,n,k,n,o,w,n|Ripe",0.495,0.61,2.0,-5.08,1.0,0.0378,0.324,5.88e-06,0.371,0.492,90.902,4.0,398434.0
484,2bL2gyO6kBdLkNSkxXNh6x,Animals,['04gDigrS5kc9YWfZHwBETP'],['Maroon 5'],2Auw0pTT6EcQdvHNimhLQI,V,2014-09-02,False,81.0,Animals|V|Maroon 5,0.279,0.742,4.0,-6.46,0.0,0.0898,0.000185,0.0,0.593,0.328,189.868,4.0,231013.0
485,2bRKV3SD5NVqdrfzK04tSu,Old Dog,['5r5Va4lVQ1zjEfbJSrmCsS'],['BROODS'],3KzbSN2H2bqf9b8NKiCIL0,Don't Feed The Pop Monster,2019-02-01,False,22.0,"Old Dog|D,o,n,',t, ,F,e,e,d, ,T,h,e, ,P,o,p, ,M,o,n,s,t,e,r|BROODS",0.615,0.951,7.0,-3.203,1.0,0.0357,0.00132,0.00143,0.0442,0.96,114.991,4.0,222769.0
